event_id,event_type,event_ts,trip_id,trip_publish_ts,trip_departure_ts,departure_city,destination_city,driver_id,driver_name,passenger_id,passenger_name,price_per_seat,seats_total,seats_change,reservation_id,reservation_status
EVTP6VCRJJP6E,trip_published,2025-01-01 06:00:00,TRP1462,2025-01-01 06:00:00,2025-01-03 09:55:00,Bizerte,Gabes,DRV0019,Skander Kouki m,,,8.7,2,0,,
EVTNOA21IHYAU,trip_published,2025-01-01 06:00:00,TRP1180,2025-01-01 06:00:00,2025-01-17 13:10:00,Gafsa,Ben Arous,DRV0059,Eya Gharbi,,,27.7,3,0,,
EVTUCL37PR5A5,trip_published,2025-01-01 06:00:00,TRP0834,2025-01-01 06:00:00,2025-01-16 14:40:00,Zarzis,Gafsa,DRV0019,Skander Kouki m,,,11.7,4,0,,
EVT2I5WLLDAAE,trip_published,2025-01-01 06:00:00,TRP0474,2025-01-01 06:00:00,2025-01-01 18:30:00,Sfax,Tunis,DRV0034,Mariem Bouslama,,,11.7,3,0,,
EVT5E7AO8ONGZ,reservation_created,2025-01-01 06:18:39,TRP1630,2025-01-01 01:00:00,2025-01-02 20:00:00,Gabes,Sfax,DRV0008,Youssef Karray,PAS0171,Aziz Chaabane,19.4,2,1,RSVHXKJU46BAL,active
EVTT6WZPR4ZQB,reservation_created,2025-01-01 06:31:09,TRP1121,2025-01-01 06:00:00,2025-01-05 12:25:00,Ben Arous,Sousse,DRV0046,Youssef Masmoudi,PAS0079,Youssef Hammami,19.2,4,2,RSVFZN1QF40QQ,active
EVTOLMYQA78CU,trip_published,2025-01-01 07:00:00,TRP0284,2025-01-01 07:00:00,2025-01-10 04:30:00,Jendouba,Monastir,DRV0014,Mouna Bouslama,,,12.2,3,0,,
EVTNDXSSCHJ31,trip_published,2025-01-01 07:00:00,TRP1196,2025-01-01 07:00:00,2025-01-11 19:40:00,Tunis,Beja,DRV0054,Ameni Mansouri,,,14.3,3,0,,
EVTFR7CM4IWTA,trip_published,2025-01-01 07:00:00,TRP2483,2025-01-01 07:00:00,2025-01-07 17:05:00,Gafsa,Ben Arous,DRV0027,Ahmed Ferjani,,,25.8,2,0,,
EVT44IX52UZ3K,reservation_created,2025-01-01 07:43:20,TRP1135,2025-01-01 02:00:00,2025-01-02 13:45:00,Gafsa,Jendouba,DRV0016,Sami Chaabane,PAS0232,Ahmed Jebali,11.4,4,2,RSVSDVXQK9UF2,active
EVTQHZEDCJ9ZQ,trip_published,2025-01-01 08:20:00,TRP0845,2025-01-01 08:20:00,2025-01-02 15:20:00,Hammamet,Sfax,DRV0032,Wassim Souissi,,,15.5,4,0,,
EVTNM7KO3V481,reservation_created,2025-01-01 08:42:45,TRP0474,2025-01-01 06:00:00,2025-01-01 18:30:00,Sfax,Tunis,DRV0034,Mariem Bouslama,PAS0336,Bilel Saidi,11.7,3,2,RSVMGKLCWSEVW,active
EVTRZ4D4YJI35,trip_published,2025-01-01 09:00:00,TRP0145,2025-01-01 09:00:00,2025-01-14 15:15:00,Gabes,Bizerte,DRV0015,Asma Ben Ali,,,14.6,2,0,,
EVTXUIIY3XGWK,trip_published,2025-01-01 09:00:00,TRP0314,2025-01-01 09:00:00,2025-01-04 08:45:00,Ariana,Tunis,DRV0030,Bilel Chaabane,,,11.7,4,0,,
EVTDGAMRH4FZZ,trip_published,2025-01-01 09:00:00,TRP0631,2025-01-01 09:00:00,2025-01-20 18:50:00,Tozeur,Ariana,DRV0032,Wassim Souissi,,,21.2,3,0,,
EVTJN85ZQOJUP,reservation_created,2025-01-01 09:09:27,TRP1383,2025-01-01 04:00:00,2025-01-02 12:55:00,Ben Arous,Gabes,DRV0002,Youssef Hammami,PAS0389,Mehdi Gharbi,29.5,2,1,RSVP21OKBXSPV,active
EVT22GSDPNLQC,reservation_created,2025-01-01 09:42:31,TRP1656,2025-01-01 01:00:00,2025-01-01 12:15:00,Gafsa,Jendouba,DRV0053,Khalil Khelifi,PAS0370,Skander Guezguez,11.2,2,1,RSVWIGAYL6N5T,active
EVTSKTHBAHK7S,reservation_created,2025-01-01 09:47:01,TRP1383,2025-01-01 04:00:00,2025-01-02 12:55:00,Ben Arous,Gabes,DRV0002,Youssef Hammami,PAS0289,Bilel Souissi,29.5,2,1,RSVS59L5XN4UN,active
EVTGUYZ5IPHJT,reservation_created,2025-01-01 09:58:15,TRP1462,2025-01-01 06:00:00,2025-01-03 09:55:00,Bizerte,Gabes,DRV0019,Skander Kouki m,PAS0220,Ilyes Jebali,8.7,2,1,RSV86LSGUD4M3,active
EVT93X4OEARNW,trip_published,2025-01-01 10:00:00,TRP0589,2025-01-01 10:00:00,2025-01-04 19:50:00,Ariana,Hammamet,DRV0023,Khalil Masmoudi,,,6.0,4,0,,
EVTENI8WX46QG,trip_published,2025-01-01 10:00:00,TRP0388,2025-01-01 10:00:00,2025-01-03 21:25:00,Mahdia,Manouba,DRV0029,Hedi Karray,,,23.5,3,0,,
EVTQGDZK0XF0T,trip_published,2025-01-01 10:00:00,TRP1753,2025-01-01 10:00:00,2025-01-15 07:40:00,Kebili,Beja,DRV0003,Asma Karray,,,13.4,3,0,,
EVT8VH1XSN66R,trip_published,2025-01-01 10:00:00,TRP0979,2025-01-01 10:00:00,2025-01-06 17:55:00,Monastir,Kairouan,DRV0028,Ahmed Khelifi,,,7.3,3,0,,
EVTMHB3HPTX8H,reservation_created,2025-01-01 10:35:09,TRP1135,2025-01-01 02:00:00,2025-01-02 13:45:00,Gafsa,Jendouba,DRV0016,Sami Chaabane,PAS0433,Rim Gharbi,11.4,4,1,RSVX2Q50Q4FC0,active
EVTPAUTZSP5WH,reservation_created,2025-01-01 10:55:41,TRP2394,2025-01-01 00:00:00,2025-01-01 12:00:00,Ariana,Mahdia,DRV0044,Wassim Mansouri,PAS0234,Asma Guezguez,15.8,3,1,RSV7DJT2C3GH4,active
EVTPW624U41TQ,trip_published,2025-01-01 11:00:00,TRP2223,2025-01-01 11:00:00,2025-01-10 01:50:00,Monastir,Zarzis,DRV0030,Bilel Chaabane,,,27.4,3,0,,
EVTDA6C6W5B2D,trip_published,2025-01-01 11:00:00,TRP2138,2025-01-01 11:00:00,2025-01-06 21:25:00,Gafsa,Sousse,DRV0030,Bilel Chaabane,,,26.2,3,0,,
EVTXU7U0C0Y5F,trip_published,2025-01-01 11:00:00,TRP2452,2025-01-01 11:00:00,2025-01-02 05:35:00,Gafsa,Kebili,DRV0026,Mariem Trabelsi,,,9.1,2,0,,
EVTCJTQEJPPTT,trip_published,2025-01-01 11:00:00,TRP1706,2025-01-01 11:00:00,2025-01-15 19:05:00,Manouba,Ariana,DRV0039,Sami Guezguez,,,11.4,2,0,,
EVTBD6NZ1Z9ZO,trip_published,2025-01-01 11:00:00,TRP0473,2025-01-01 11:00:00,2025-01-03 20:00:00,Nabeul,Ariana,DRV0041,Eya Bouazizi,,,5.0,2,0,,
EVTLMB4LYBEDR,trip_published,2025-01-01 11:00:00,TRP0689,2025-01-01 11:00:00,2025-01-03 09:15:00,Gabes,Tunis,DRV0007,Ameni Trabelsi,,,12.2,3,0,,
EVTL6WUGOFRGJ,trip_published,2025-01-01 11:00:00,TRP2584,2025-01-01 11:00:00,2025-01-12 13:10:00,Sfax,Manouba,DRV0035,Youssef Guezguez,,,22.1,3,0,,
EVT9DGHBTMPT1,trip_published,2025-01-01 11:00:00,TRP0377,2025-01-01 11:00:00,2025-01-12 16:35:00,Mahdia,Tozeur,DRV0036,Hedi Ben Youssef,,,23.1,4,0,,
EVTF574CVNMM3,reservation_created,2025-01-01 11:14:13,TRP0930,2025-01-01 00:40:00,2025-01-05 10:40:00,Ariana,Tozeur,DRV0029,Hedi Karray,PAS0183,Sarra Zouari,27.7,3,1,RSV0YYQWIMHYA,active
EVTYXYEMU9Q9V,trip_published,2025-01-01 11:20:00,TRP0558,2025-01-01 11:20:00,2025-01-10 17:20:00,Zarzis,Mahdia,DRV0026,Mariem Trabelsi,,,21.5,4,0,,
EVTBI4MU4QP4U,trip_published,2025-01-01 11:25:00,TRP2331,2025-01-01 11:25:00,2025-01-09 13:25:00,Nabeul,Ariana,DRV0052,Youssef Khelifi,,,5.3,4,0,,
EVTBPIWD5MPHQ,reservation_created,2025-01-01 11:28:02,TRP1533,2025-01-01 00:00:00,2025-01-13 14:10:00,Kebili,Hammamet,DRV0026,Mariem Trabelsi,PAS0100,Aziz Hammami,25.7,4,1,RSVKJUJ45QMX4,active
EVTDT2MJTC33U,trip_published,2025-01-01 12:00:00,TRP2243,2025-01-01 12:00:00,2025-01-12 12:50:00,Beja,Manouba,DRV0014,Mouna Bouslama,,,28.7,3,0,,
EVT9EVG4PL916,trip_published,2025-01-01 12:30:00,TRP1985,2025-01-01 12:30:00,2025-01-03 18:30:00,Bizerte,Nabeul,DRV0023,Khalil Masmoudi,,,22.2,3,0,,
EVTBEXD20A3D6,reservation_created,2025-01-01 12:40:36,TRP0845,2025-01-01 08:20:00,2025-01-02 15:20:00,Hammamet,Sfax,DRV0032,Wassim Souissi,PAS0180,Ameni Ferjani,15.5,4,1,RSV3JR67FMTT1,active
EVTM2O2ZCMOTB,trip_published,2025-01-01 13:00:00,TRP0408,2025-01-01 13:00:00,2025-01-12 17:15:00,Kairouan,Jendouba,DRV0025,Ahmed Ferjani,,,13.0,2,0,,
EVT590YUP1E7C,reservation_created,2025-01-01 13:12:29,TRP0473,2025-01-01 11:00:00,2025-01-03 20:00:00,Nabeul,Ariana,DRV0041,Eya Bouazizi,PAS0165,Eya Souissi,5.0,2,1,RSVFJXESURL7F,active
EVTILHGNM1UBH,reservation_created,2025-01-01 13:16:47,TRP0589,2025-01-01 10:00:00,2025-01-04 19:50:00,Ariana,Hammamet,DRV0023,Khalil Masmoudi,PAS0498,Hedi Ben Youssef,6.0,4,1,RSV3SXD8WG118,active
EVTVHUNTSNG3J,reservation_created,2025-01-01 13:32:37,TRP2379,2025-01-01 00:00:00,2025-01-01 23:10:00,Hammamet,Jendouba,DRV0051,Rim Karray,PAS0469,Sarra Ferjani,17.9,2,1,RSVEZWEHTOHGE,active
EVTXIRUBMF27R,reservation_created,2025-01-01 13:54:49,TRP0388,2025-01-01 10:00:00,2025-01-03 21:25:00,Mahdia,Manouba,DRV0029,Hedi Karray,PAS0195,Skander Ben Youssef,23.5,3,1,RSVZN7Q6DE7UA,active
EVTHQKZGTSOF1,trip_published,2025-01-01 14:00:00,TRP1995,2025-01-01 14:00:00,2025-01-09 07:05:00,Djerba,Bizerte,DRV0048,Ilyes Bouslama,,,19.8,3,0,,
EVT1JOQNUVK6J,trip_published,2025-01-01 14:00:00,TRP0433,2025-01-01 14:00:00,2025-01-01 19:55:00,Gafsa,Beja,DRV0041,Eya Bouazizi,,,12.5,3,0,,
EVTGEYZILJ29J,trip_published,2025-01-01 14:00:00,TRP0133,2025-01-01 14:00:00,2025-01-06 13:05:00,Gabes,Kebili,DRV0008,Youssef Karray,,,9.4,3,0,,
EVTLF8SXE2CZY,reservation_created,2025-01-01 14:02:59,TRP1510,2025-01-01 05:20:00,2025-01-22 13:20:00,Sousse,Bizerte,DRV0008,Youssef Karray,PAS0473,Skander Trabelsi,17.2,2,1,RSVAOVHMGY24A,active
EVT1TZ2Q8ZFLW,reservation_created,2025-01-01 14:40:29,TRP0474,2025-01-01 06:00:00,2025-01-01 18:30:00,Sfax,Tunis,DRV0034,Mariem Bouslama,PAS0002,Wassim Ben Ali,11.7,3,1,RSVO5LYBEHG1M,active
EVTHCZTGZOHC7,trip_published,2025-01-01 15:00:00,TRP0285,2025-01-01 15:00:00,2025-01-20 08:45:00,Ariana,Sousse,DRV0019,Skander Kouki m,,,24.5,2,0,,
EVTU7033ZUJCI,trip_published,2025-01-01 15:00:00,TRP1525,2025-01-01 15:00:00,2025-01-02 07:00:00,Sfax,Gafsa,DRV0009,Asma Dali,,,15.7,2,0,,
EVT6LBM0AJ6X2,trip_published,2025-01-01 15:00:00,TRP2261,2025-01-01 15:00:00,2025-01-18 19:30:00,Kebili,Sfax,DRV0051,Rim Karray,,,21.3,3,0,,
EVTUO5Q5LF7GD,trip_published,2025-01-01 15:00:00,TRP1637,2025-01-01 15:00:00,2025-01-06 17:35:00,Hammamet,Gabes,DRV0007,Ameni Trabelsi,,,17.0,3,0,,
EVTCYI0PLA6D2,trip_published,2025-01-01 15:00:00,TRP0952,2025-01-01 15:00:00,2025-01-15 17:35:00,Ariana,Djerba,DRV0059,Eya Gharbi,,,31.8,2,0,,
EVTNMZOGQ2H5C,trip_published,2025-01-01 15:00:00,TRP0807,2025-01-01 15:00:00,2025-01-06 09:05:00,Monastir,Gafsa,DRV0002,Youssef Hammami,,,28.0,3,0,,
EVT3A8JEZH3IM,reservation_created,2025-01-01 15:29:38,TRP1232,2025-01-01 05:00:00,2025-01-01 18:45:00,Ariana,Manouba,DRV0001,Aziz Khelifi,PAS0210,Ilyes Dali,6.9,2,1,RSV0EO1EQXRZI,active
EVTOOQNADLZI9,trip_published,2025-01-01 15:30:00,TRP2486,2025-01-01 15:30:00,2025-01-05 19:30:00,Sousse,Djerba,DRV0042,Hedi Bouazizi,,,27.8,4,0,,
EVTV83MCYMU0Z,trip_published,2025-01-01 16:00:00,TRP1940,2025-01-01 16:00:00,2025-01-09 18:50:00,Sfax,Zarzis,DRV0056,Ilyes Khelifi,,,22.4,3,0,,
EVTFPG5WDFR8V,trip_published,2025-01-01 16:00:00,TRP0789,2025-01-01 16:00:00,2025-01-09 18:55:00,Mahdia,Kairouan,DRV0036,Hedi Ben Youssef,,,12.1,3,0,,
EVTZNCQ1OFP2S,reservation_created,2025-01-01 16:05:09,TRP2452,2025-01-01 11:00:00,2025-01-02 05:35:00,Gafsa,Kebili,DRV0026,Mariem Trabelsi,PAS0035,Ilyes Mansouri,9.1,2,1,RSVJJJHS26VM6,active
EVTZA1XC5N012,reservation_created,2025-01-01 16:35:08,TRP0488,2025-01-01 04:00:00,2025-01-09 23:15:00,Ben Arous,Tunis,DRV0006,Mouna Kouki m,PAS0320,Sami Khelifi,10.5,3,1,RSV1OPPA3OJEI,active
EVT8IG4OVD343,reservation_created,2025-01-01 16:43:47,TRP2483,2025-01-01 07:00:00,2025-01-07 17:05:00,Gafsa,Ben Arous,DRV0027,Ahmed Ferjani,PAS0331,Sarra Ben Ali,25.8,2,1,RSV194XCW50IX,active
EVT63L952A768,trip_published,2025-01-01 17:00:00,TRP1021,2025-01-01 17:00:00,2025-01-03 10:20:00,Ben Arous,Mahdia,DRV0030,Bilel Chaabane,,,19.3,3,0,,
EVTL83K88RHOE,trip_published,2025-01-01 17:00:00,TRP0082,2025-01-01 17:00:00,2025-01-03 20:20:00,Beja,Kebili,DRV0048,Ilyes Bouslama,,,17.4,3,0,,
EVTD6ARYGYZI7,trip_published,2025-01-01 17:00:00,TRP1820,2025-01-01 17:00:00,2025-01-07 23:55:00,Kairouan,Hammamet,DRV0046,Youssef Masmoudi,,,12.1,2,0,,
EVT2GRX6A990B,trip_published,2025-01-01 17:00:00,TRP2281,2025-01-01 17:00:00,2025-01-13 08:35:00,Sfax,Mahdia,DRV0050,Wassim Dali,,,5.0,2,0,,
EVTB8NHOJ7H42,trip_published,2025-01-01 17:00:00,TRP2191,2025-01-01 17:00:00,2025-01-03 04:15:00,Jendouba,Beja,DRV0037,Aziz Guezguez,,,5.0,3,0,,
EVTNJCGWCD9JC,trip_published,2025-01-01 17:00:00,TRP0260,2025-01-01 17:00:00,2025-01-11 17:35:00,Manouba,Ariana,DRV0008,Youssef Karray,,,15.5,3,0,,
EVTDCOH5WYZMO,reservation_created,2025-01-01 17:07:57,TRP0433,2025-01-01 14:00:00,2025-01-01 19:55:00,Gafsa,Beja,DRV0041,Eya Bouazizi,PAS0307,Mouna Khelifi,12.5,3,1,RSVARB45OCEYJ,active
EVTAOW8LI8R7V,reservation_created,2025-01-01 17:16:44,TRP2331,2025-01-01 11:25:00,2025-01-09 13:25:00,Nabeul,Ariana,DRV0052,Youssef Khelifi,PAS0130,Khalil Ferjani,5.3,4,2,RSVF28TCK90BE,active
EVT2OOATYYXZ9,trip_published,2025-01-01 17:20:00,TRP0916,2025-01-01 17:20:00,2025-01-21 17:20:00,Gafsa,Mahdia,DRV0019,Skander Kouki m,,,25.3,4,0,,
EVTD4ZYP88MNQ,reservation_created,2025-01-01 17:31:33,TRP0689,2025-01-01 11:00:00,2025-01-03 09:15:00,Gabes,Tunis,DRV0007,Ameni Trabelsi,PAS0396,Asma Souissi,12.2,3,1,RSVSZHFFBR1IU,active
EVTQS4BH1JTLQ,reservation_created,2025-01-01 17:40:41,TRP2413,2025-01-01 04:00:00,2025-01-02 05:40:00,Sfax,Ariana,DRV0022,Asma Zouari,PAS0063,Rim Karray,15.1,3,1,RSVE6CATQ1JWG,active
EVTTWV6TYVQ0U,reservation_created,2025-01-01 17:41:25,TRP0433,2025-01-01 14:00:00,2025-01-01 19:55:00,Gafsa,Beja,DRV0041,Eya Bouazizi,PAS0425,Eya Zouari,12.5,3,1,RSV1DD2N0NHCB,active
EVTJF8RQCVMKC,trip_published,2025-01-01 18:00:00,TRP0987,2025-01-01 18:00:00,2025-01-13 08:20:00,Gabes,Hammamet,DRV0051,Rim Karray,,,26.8,3,0,,
EVTVM4YLHGO1K,trip_published,2025-01-01 18:00:00,TRP0728,2025-01-01 18:00:00,2025-01-08 10:25:00,Sfax,Hammamet,DRV0037,Aziz Guezguez,,,16.2,3,0,,
EVTGIP3V2Z7EX,reservation_created,2025-01-01 18:22:24,TRP0433,2025-01-01 14:00:00,2025-01-01 19:55:00,Gafsa,Beja,DRV0041,Eya Bouazizi,PAS0007,Ines Kouki m,12.5,3,1,RSVKGZ1AJJJ33,active
EVTG7C0Q6ULH3,trip_published,2025-01-01 19:00:00,TRP0238,2025-01-01 19:00:00,2025-01-08 08:10:00,Ben Arous,Manouba,DRV0034,Mariem Bouslama,,,11.9,4,0,,
EVTM767JEZ24W,trip_published,2025-01-01 19:25:00,TRP0130,2025-01-01 19:25:00,2025-01-22 07:25:00,Bizerte,Ben Arous,DRV0032,Wassim Souissi,,,18.8,4,0,,
